Transaction_ID,Cardholder_Name,Age,Gender,Transaction_Amount,Merchant_Name,Merchant_Category,City,Transaction_Time,International_Transaction,Card_Present,Failed_Attempts,Fraud
TXN1028,April Bradley,23,Male,2288.11,"Allison, Smith and Mata",Grocery,Mumbai,2026-01-19 16:21:16,0,0,5,1
TXN1029,Meredith Edwards,28,Female,1628.48,Flores Group,Electronics,Pune,2025-05-24 21:08:16,0,0,0,0
TXN1030,Matthew Hopkins,44,Female,2141.27,Graham Inc,Online Shopping,Mumbai,2026-01-11 15:00:16,1,1,2,0
TXN1031,Gregory Bentley,56,Male,831.63,Johnson-Buchanan,Online Shopping,Chennai,2025-12-21 23:08:16,0,1,2,0
TXN1032,Travis Allen,59,Female,1694.7,Rojas-Harris,Healthcare,Gurgaon,2025-06-26 06:09:16,1,0,0,0
TXN1033,Nicholas Sims,69,Male,1824.51,Davidson-Pace,Food,Delhi,2026-03-16 16:02:16,1,0,1,0
TXN1034,Maria Boyd,20,Male,1511.38,Watkins-Mullen,Food,Delhi,2026-01-14 04:24:16,0,0,2,0
TXN1035,Amy Reyes,66,Male,4883.31,"Armstrong, Goodman and Vazquez",Electronics,Delhi,2025-09-29 06:18:16,1,0,4,1
TXN1036,Kimberly Johnston,49,Male,4542.25,"Moore, Sanchez and Lopez",Fashion,Chennai,2026-01-02 01:48:16,1,0,3,1
TXN1037,Kimberly Rose,43,Male,4928.4,James-Adams,Fuel,Mumbai,2025-09-02 23:46:16,1,1,2,1
TXN1038,Cindy White,34,Male,3643.8,"Benson, Nichols and Anderson",Electronics,Delhi,2025-07-31 22:49:16,1,1,1,1
TXN1039,Shaun Brown,23,Female,2000.13,"Moreno, Hinton and Sweeney",Entertainment,Gurgaon,2025-09-09 12:08:16,0,0,0,0
TXN1040,Emily Jimenez,23,Male,3482.11,"Lozano, Bowers and Joseph",Entertainment,Chennai,2025-08-21 07:41:16,1,0,2,1
TXN1041,Louis Chapman,53,Male,92.77,Bishop Ltd,Food,Mumbai,2025-12-11 08:09:16,1,0,3,0
TXN1042,Miss Julie Gonzales,58,Female,3457.78,"Bowers, Anderson and King",Travel,Bangalore,2025-12-30 21:23:16,1,0,0,1
TXN1043,Nancy Garza,28,Male,1711.92,Chapman LLC,Fuel,Pune,2025-12-07 18:06:16,0,0,3,0
TXN1044,Matthew Valencia,33,Male,4087.94,Foster Ltd,Electronics,Mumbai,2026-03-08 11:39:16,0,1,0,0
TXN1045,Kevin Nicholson,65,Female,4827.44,Banks Group,Fuel,Mumbai,2026-03-31 05:32:16,1,0,0,1
TXN1046,Angela Perez,52,Male,3504.79,Smith-Mcneil,Entertainment,Delhi,2025-10-12 01:21:16,1,1,5,1
TXN1047,Nicole Rivera,50,Female,3213.74,Jenkins-Foster,Fashion,Gurgaon,2026-02-21 11:33:16,1,0,3,1
TXN1048,Rachel Davis,55,Male,3348.25,Williams-Lane,Fashion,Mumbai,2025-08-27 00:53:16,0,0,5,1
TXN1049,Edward Goodwin,42,Female,3320.87,"Perry, Ferguson and Butler",Grocery,Delhi,2025-05-23 09:55:16,1,0,1,1
TXN1050,Latoya Hartman,19,Male,3462.56,Henderson Group,Online Shopping,Delhi,2025-10-11 19:05:16,0,0,0,0
TXN1051,Robert Frey,21,Male,1193.87,Graham-Daniels,Food,Gurgaon,2025-08-03 12:21:16,0,0,2,0
TXN1052,Michael Henry,34,Male,1547.22,Miranda-Foster,Electronics,Gurgaon,2025-11-12 15:42:16,1,1,2,0
TXN1053,Robert Williams,39,Male,1333.36,Ramsey and Sons,Healthcare,Mumbai,2025-09-11 22:03:16,1,1,4,1
TXN1054,Morgan Lewis,68,Male,4461.31,Jones-Miller,Fashion,Gurgaon,2025-07-29 02:20:16,1,0,5,1
TXN1055,Claudia Vega,50,Male,2888.75,Torres-Grimes,Fuel,Pune,2025-06-24 12:22:16,0,0,3,0
TXN1056,Cassidy Fritz,52,Male,3845.08,Williams-Thomas,Online Shopping,Bangalore,2026-04-20 16:13:16,0,1,5,1
TXN1057,Jonathan Edwards,46,Male,1405.01,Moore LLC,Food,Bangalore,2026-05-02 00:41:16,1,0,0,0
TXN1058,Marcus Stanley,54,Female,4642.31,"Hall, Anderson and Brown",Online Shopping,Chennai,2025-07-09 07:10:16,1,0,2,1
TXN1059,Fernando Jones,50,Female,385.98,Jones-Smith,Electronics,Mumbai,2025-08-27 07:09:16,1,0,0,0
TXN1060,Christopher Sherman,20,Male,855.77,"Paul, Doyle and Richardson",Online Shopping,Mumbai,2025-07-30 18:10:16,1,1,5,1
TXN1061,Marc Bartlett,20,Male,2854.61,"Durham, Rogers and Phillips",Healthcare,Mumbai,2025-07-31 10:09:16,1,1,5,1
TXN1062,Shane Perry,40,Female,709.02,Moore-Soto,Grocery,Delhi,2025-12-03 18:39:16,1,1,1,0
TXN1063,Mrs. Jamie Montgomery,34,Male,4244.86,Hudson LLC,Grocery,Bangalore,2025-07-12 05:53:16,0,1,4,1
TXN1064,Nicole Jenkins,59,Male,4048.71,"Jordan, Weaver and Johnson",Fuel,Pune,2025-05-17 10:16:16,1,0,4,1
TXN1065,Patrick Cox,24,Male,2512.57,"Morris, Jackson and Thomas",Electronics,Chennai,2025-11-15 08:40:16,0,0,5,1
TXN1066,Levi Gonzalez,33,Female,263.33,Carlson Inc,Online Shopping,Mumbai,2025-12-16 02:39:16,1,0,5,1
TXN1067,Miguel Hickman,68,Male,2333.33,Montgomery PLC,Fashion,Bangalore,2026-03-05 05:43:16,0,1,1,0
TXN1068,Caitlyn Allen,39,Male,1258.75,"Miller, Gillespie and Kelly",Food,Chennai,2025-11-18 22:26:16,0,1,5,1
TXN1069,Sean West,60,Female,644.03,"Solis, Reid and Johnson",Travel,Mumbai,2025-08-16 06:41:16,0,0,3,0
TXN1070,Robert Sanchez,61,Female,3118.22,Moreno Group,Grocery,Mumbai,2025-10-23 21:56:16,1,1,3,1
TXN1071,Dr. Jason Johnson,47,Male,2707.77,"Williams, Elliott and Smith",Fashion,Mumbai,2025-06-30 19:49:16,0,1,4,1
TXN1072,Luis Torres,67,Male,2586.34,"King, Vega and Dalton",Fuel,Mumbai,2025-11-30 09:24:16,0,1,2,0
TXN1073,Linda Wright,45,Female,3722.77,"Phillips, Williamson and Taylor",Fashion,Mumbai,2025-05-26 23:15:16,0,0,4,1
TXN1074,Ronnie Harris,40,Male,2147.29,Daniels Inc,Entertainment,Bangalore,2025-12-30 02:54:16,1,0,1,0
TXN1075,Jessica Tucker,49,Female,2750.64,Mcguire-Smith,Healthcare,Chennai,2026-03-20 19:56:16,1,1,4,1
TXN1076,Elizabeth Burke,18,Male,4774.78,"Bowen, Williams and Bennett",Electronics,Bangalore,2025-10-27 23:19:16,0,1,4,1
TXN1077,Andrea Flores,20,Male,1246.18,Patrick Group,Electronics,Pune,2025-12-14 09:04:16,1,1,5,1
TXN1078,Austin Herring,46,Female,589.2,"Kelly, Orozco and Baker",Entertainment,Pune,2026-02-27 12:52:16,0,1,5,1
TXN1079,Stephanie Baker,63,Male,4897.76,"Thompson, Boone and Richmond",Fashion,Delhi,2025-10-15 12:15:16,1,0,1,1
TXN1080,Cindy Green,65,Male,4036.5,Herman-Ramos,Healthcare,Gurgaon,2026-01-28 03:11:16,0,1,4,1
TXN1081,John Shepherd,40,Female,249.81,Lutz-Castillo,Electronics,Chennai,2025-09-03 23:05:16,1,1,1,0
TXN1082,Robert Jackson,69,Female,1879.32,Fernandez-Ibarra,Healthcare,Gurgaon,2025-08-30 08:43:16,1,0,0,0
TXN1083,Christopher Williams,22,Male,3422.98,Lambert and Sons,Entertainment,Chennai,2026-04-21 04:25:16,1,0,1,1
TXN1084,Mr. Ruben Brown,66,Female,4337.32,Hernandez Ltd,Entertainment,Pune,2025-11-28 08:17:16,0,1,3,0
TXN1085,Casey Smith,67,Female,2871.1,Moore and Sons,Food,Gurgaon,2026-04-05 02:50:16,1,1,2,0
TXN1086,Natalie Madden,54,Female,3133.44,Bennett LLC,Fuel,Chennai,2026-03-04 03:01:16,0,1,1,0
TXN1087,Jennifer Kelley,60,Male,987.0,Johnson PLC,Electronics,Bangalore,2026-04-25 14:39:16,1,0,4,1
TXN1088,Bobby Leblanc,68,Male,3095.09,"Vega, Davis and Ross",Fashion,Mumbai,2025-10-04 11:15:16,0,0,4,1
TXN1089,Rachel Odonnell,43,Male,3411.25,Nguyen-Wilson,Grocery,Mumbai,2026-01-12 19:34:16,1,0,3,1
TXN1090,Jacob Martin,67,Female,3148.42,"Day, Evans and Medina",Entertainment,Chennai,2025-10-02 06:44:16,0,1,3,0
TXN1091,Kyle Jones,27,Female,2123.12,Mitchell-Smith,Entertainment,Mumbai,2025-10-28 00:52:16,0,0,2,0
TXN1092,Pamela Leon,65,Male,647.17,Estes-Lloyd,Entertainment,Mumbai,2026-01-31 04:18:16,0,1,5,1
TXN1093,Stephen Dennis,49,Male,4293.48,Diaz-Kim,Online Shopping,Mumbai,2025-11-05 15:18:16,0,1,0,1
TXN1094,Angela Rice,52,Male,524.59,Mitchell LLC,Fuel,Chennai,2025-08-07 11:21:16,1,1,0,0
TXN1095,Colleen Meza,39,Female,1495.2,Pena-Crawford,Online Shopping,Gurgaon,2026-04-18 11:05:16,0,1,3,0
TXN1096,Derrick Beck,58,Female,4237.24,"Thornton, Cox and Ellis",Fashion,Mumbai,2025-08-15 21:13:16,1,1,5,1
TXN1097,Christopher Hartman,48,Male,4753.53,Pugh-Hebert,Fashion,Gurgaon,2025-06-02 13:25:16,0,1,4,1
TXN1098,Mercedes Bell,22,Male,1473.12,Miranda-Gutierrez,Fashion,Bangalore,2026-04-12 07:42:16,1,0,4,1
TXN1099,Margaret Richardson,53,Male,4731.51,"Martinez, Wallace and Garcia",Travel,Mumbai,2025-12-14 20:56:16,1,0,4,1
TXN1100,Karen Lynn,59,Male,4871.5,"Newton, Gross and Moran",Electronics,Gurgaon,2025-09-26 23:06:16,1,1,4,1
TXN1101,Jonathan Olson,60,Female,3532.1,Grant Group,Entertainment,Delhi,2025-09-10 16:32:16,0,1,1,0
TXN1102,Stephanie Hodges,61,Female,4335.67,"Duarte, Mcknight and Alvarez",Grocery,Pune,2025-09-19 20:55:16,1,1,4,1
TXN1103,Daniel Holden,57,Male,373.09,"Stone, Fitzgerald and Rowland",Healthcare,Bangalore,2025-07-29 02:36:16,1,1,4,1
TXN1104,Mark Bradley,54,Male,1173.81,Garza-Yoder,Fuel,Mumbai,2025-12-22 11:56:16,1,1,0,0
TXN1105,Amy Duncan,39,Female,4065.87,Fisher and Sons,Grocery,Gurgaon,2025-06-14 15:37:16,1,1,3,1
TXN1106,Danielle Gordon,23,Male,3543.82,Rodriguez and Sons,Fuel,Mumbai,2025-08-05 15:47:16,0,1,2,0
TXN1107,Andrea Levy,27,Male,4532.71,Singleton-Lyons,Electronics,Chennai,2026-03-30 00:56:16,1,0,4,1
TXN1108,Katie Tucker,67,Female,2348.62,Hill-Fisher,Travel,Delhi,2026-03-10 08:13:16,1,1,4,1
TXN1109,Jenny Blake,58,Female,3723.62,Zimmerman PLC,Food,Gurgaon,2025-05-24 11:16:16,1,1,0,1
TXN1110,Billy Klein,55,Female,2187.32,"Ward, Holmes and Patrick",Fashion,Gurgaon,2026-03-10 15:56:16,1,0,4,1
TXN1111,Bridget White,64,Female,4456.8,"Pittman, Cain and Wilson",Grocery,Chennai,2025-10-06 16:41:16,0,1,4,1
TXN1112,Stephanie Johnson,53,Male,2773.73,"Daniel, Diaz and Brown",Electronics,Chennai,2026-04-17 09:54:16,0,0,0,0
TXN1113,Rebecca Garrett,66,Male,3481.79,Acosta and Sons,Food,Delhi,2026-05-06 06:47:16,0,0,5,1
TXN1114,Wesley Graham,20,Male,4506.78,Brown and Sons,Fuel,Chennai,2026-04-25 18:09:16,0,0,5,1
TXN1115,Tina Turner,29,Female,542.71,"Carpenter, Fields and Dixon",Fashion,Bangalore,2026-04-30 00:15:16,0,0,1,0
TXN1116,Michael Moore,67,Male,1337.03,"Fowler, Gonzalez and Bolton",Fashion,Delhi,2025-05-15 19:05:16,0,1,2,0
TXN1117,Erika Lewis,34,Female,1406.02,"Ferguson, Adkins and Soto",Entertainment,Chennai,2025-10-07 15:13:16,0,0,4,1
TXN1118,Anne Oconnor,30,Male,4555.53,Fry and Sons,Electronics,Chennai,2025-08-27 22:23:16,1,0,2,1
TXN1119,Alexander Harris,22,Male,3070.94,"Cox, Green and Walton",Healthcare,Pune,2026-04-27 04:11:16,1,1,1,1
TXN1120,Keith Medina,62,Male,832.52,Boyd-Burns,Online Shopping,Chennai,2025-07-22 06:40:16,1,0,1,0
TXN1121,Michael Houston,49,Female,4926.58,Williamson-Moody,Fuel,Delhi,2025-08-13 07:15:16,1,1,0,1
TXN1122,Mark Cohen,39,Female,4147.53,"Garcia, Hughes and Diaz",Travel,Gurgaon,2025-11-11 15:08:16,0,1,1,0
TXN1123,Vicki Holmes,58,Female,2079.95,"Thompson, Gross and Carter",Fuel,Gurgaon,2025-06-30 22:13:16,1,1,0,0
TXN1124,Carol Pearson,22,Male,4998.59,Stevens-Eaton,Electronics,Bangalore,2025-05-15 00:48:16,1,0,4,1
TXN1125,Ellen Carlson,54,Female,3787.84,Carpenter-Hooper,Entertainment,Bangalore,2026-02-13 11:20:16,0,1,5,1
TXN1126,Samantha Taylor,26,Female,654.51,Roberts Group,Travel,Gurgaon,2026-03-17 15:28:16,0,1,3,0
TXN1127,Michelle Mills,18,Female,3361.79,Ramsey-Myers,Healthcare,Bangalore,2025-07-24 02:13:16,1,0,1,1
TXN1128,Cody Medina,51,Male,2386.29,Hebert Group,Electronics,Mumbai,2025-08-21 10:29:16,1,1,0,0
TXN1129,Rebecca Herman,61,Male,2809.08,Burch-Nixon,Fuel,Chennai,2025-09-27 10:53:16,1,1,4,1
TXN1130,William Olson,38,Male,3200.41,Perkins Inc,Electronics,Bangalore,2026-02-21 09:02:16,0,1,5,1
TXN1131,Laura Lowery,51,Male,1759.43,Gallagher-Cummings,Fashion,Chennai,2026-01-29 10:11:16,1,1,2,0
TXN1132,Michael King,68,Female,4521.75,Marsh PLC,Entertainment,Chennai,2025-07-03 22:08:16,1,1,3,1
TXN1133,Justin Pierce,47,Female,3114.21,Franco-Rodriguez,Fashion,Bangalore,2026-03-17 11:36:16,1,0,4,1
TXN1134,Latasha Combs,21,Male,2302.14,"Sanders, Murillo and Cunningham",Food,Bangalore,2025-06-11 10:41:16,0,0,3,0
TXN1135,Timothy Andrade,41,Male,238.85,"Ritter, Leonard and Wright",Food,Chennai,2025-08-18 07:39:16,1,1,4,1
TXN1136,Maria Cruz,60,Female,2902.45,Carlson-Smith,Electronics,Mumbai,2026-01-16 04:46:16,1,0,2,0
TXN1137,James Walker,33,Female,3207.96,"Castro, Woods and Miller",Travel,Bangalore,2025-05-12 23:45:16,0,0,0,0
TXN1138,Alexander Wong,20,Female,4372.84,"Bradley, Hall and Dougherty",Grocery,Delhi,2025-12-03 09:43:16,1,0,2,1
TXN1139,Andrew Bowen,36,Female,4110.74,Reynolds-Bryant,Electronics,Delhi,2026-02-04 18:19:16,1,1,4,1
TXN1140,Candace Moore,23,Female,611.97,Jenkins Group,Fuel,Bangalore,2025-09-16 16:15:16,0,0,5,1
TXN1141,Donna Dixon,51,Female,652.45,"Macdonald, Barnes and Jenkins",Fuel,Delhi,2025-10-01 15:14:16,0,1,0,0
TXN1142,William Morgan,43,Female,3999.06,"Larson, Lee and Holmes",Electronics,Pune,2026-01-06 05:54:16,0,0,5,1
TXN1143,Patricia Benson,60,Male,4605.15,Medina-Lee,Fashion,Delhi,2026-03-07 11:15:16,0,0,3,0
TXN1144,Shawn Davidson,18,Female,431.74,"Baker, Patton and Fuller",Food,Pune,2025-05-17 08:26:16,1,1,5,1
TXN1145,Luis Bailey,31,Female,3095.09,Miller-Vazquez,Fashion,Pune,2026-02-18 04:39:16,1,1,4,1
TXN1146,Natasha Mccarthy,43,Male,193.05,Diaz-Jones,Electronics,Mumbai,2025-06-29 09:34:16,0,1,2,0
TXN1147,Dawn Allen,64,Male,4223.76,"Lambert, Bryant and Wolf",Travel,Mumbai,2025-05-09 12:41:16,0,0,4,1
TXN1148,Rick Moody,35,Male,2242.59,Mason and Sons,Grocery,Gurgaon,2025-09-22 09:26:16,1,1,0,0
TXN1149,Nathan Hill,54,Female,919.6,Carlson-Jordan,Grocery,Mumbai,2026-03-29 11:02:16,1,1,5,1
TXN1150,Brian Cook,43,Female,2681.32,Hansen and Sons,Electronics,Chennai,2026-04-12 11:28:16,0,1,3,0
TXN1151,Tamara Norman,42,Male,3398.72,"Cooley, Pratt and Santiago",Entertainment,Delhi,2026-03-01 18:56:16,0,0,1,0
TXN1152,Larry Johnson,64,Female,2925.16,Griffin-Walters,Travel,Delhi,2026-04-03 13:33:16,0,0,0,0
TXN1153,Jonathan Davis,61,Female,646.63,Garcia Inc,Fashion,Gurgaon,2026-01-26 21:49:16,0,1,1,0
TXN1154,Phillip Fernandez,51,Female,1229.32,Bennett and Sons,Entertainment,Bangalore,2025-06-26 15:35:16,1,1,4,1
TXN1155,Tami Moore,50,Male,47.6,Jordan-Neal,Grocery,Gurgaon,2025-08-03 22:35:16,1,1,3,0
TXN1156,Hannah Chan,47,Male,940.97,Moore PLC,Electronics,Mumbai,2025-06-23 03:46:16,0,1,0,0
TXN1157,Joshua Davis,20,Male,2627.31,Perry Ltd,Travel,Gurgaon,2026-03-28 23:05:16,1,1,5,1
TXN1158,Jason Bean,19,Male,2884.23,Fry LLC,Entertainment,Chennai,2026-02-22 00:26:16,1,0,5,1
TXN1159,Tammy Murphy,66,Female,2458.84,"Gibson, Branch and Taylor",Healthcare,Gurgaon,2026-03-07 02:26:16,1,1,2,0
TXN1160,Christopher Thompson,25,Male,2388.33,"Johnson, Richardson and Romero",Travel,Bangalore,2025-11-15 16:36:16,1,1,5,1
TXN1161,Jeremy Lee,43,Female,1625.16,Curtis LLC,Entertainment,Pune,2025-08-05 08:08:16,0,1,3,0
TXN1162,Charles Dennis,66,Male,2653.9,Nichols Group,Healthcare,Bangalore,2026-05-06 14:03:16,1,0,4,1
TXN1163,Alex Stanley,28,Female,4660.75,Conley-Perez,Online Shopping,Delhi,2025-06-08 17:38:16,1,1,0,1
TXN1164,Joseph Sharp,23,Male,1689.66,"Scott, Austin and Blackwell",Food,Pune,2026-04-27 23:18:16,1,1,1,0
TXN1165,Amber Larson,61,Female,1016.64,Strong-Sullivan,Grocery,Mumbai,2025-11-21 02:21:16,1,0,0,0
TXN1166,Connie Anderson,54,Female,23.53,"Myers, Solis and Johnson",Fuel,Chennai,2025-08-15 17:26:16,1,0,5,1
TXN1167,Christopher Lewis,52,Male,1750.85,"Cunningham, Ball and Morgan",Food,Chennai,2025-07-06 22:41:16,0,1,3,0
TXN1168,Hannah Allen,67,Male,630.24,Faulkner-Miller,Online Shopping,Gurgaon,2025-12-22 02:29:16,0,0,2,0
TXN1169,Sarah Andrade,52,Male,4632.98,Morris PLC,Fuel,Delhi,2025-06-21 05:41:16,0,1,4,1
TXN1170,Jason Maxwell,25,Female,4141.43,Schmidt Group,Online Shopping,Chennai,2025-09-20 13:41:16,1,1,5,1
TXN1171,Michael Boyd,52,Female,829.69,"Miller, Douglas and Watts",Fuel,Mumbai,2026-05-02 08:42:16,1,0,5,1
TXN1172,Aaron Robinson DDS,43,Female,4540.25,Smith-Sanchez,Food,Pune,2026-02-07 14:59:16,0,0,0,0
TXN1173,John Robles,35,Female,4084.83,Baker PLC,Entertainment,Bangalore,2025-07-16 20:27:16,1,0,2,1
TXN1174,Karen Gregory,55,Female,2703.51,Alvarez and Sons,Fashion,Pune,2026-03-05 13:08:16,1,0,0,0
TXN1175,Heather Clark,34,Female,4498.88,Lee and Sons,Online Shopping,Gurgaon,2025-07-02 20:01:16,1,1,2,1
TXN1176,Derek Bryant,56,Female,593.32,"Oliver, Malone and Lawrence",Fuel,Bangalore,2025-12-25 01:34:16,0,0,2,0
TXN1177,Steven Myers,25,Female,3471.65,"Elliott, Ingram and Bruce",Food,Gurgaon,2026-04-22 13:12:16,0,1,0,0
TXN1178,Mary Hendrix,69,Female,3709.89,Richard Group,Entertainment,Gurgaon,2025-12-01 21:44:16,0,1,0,0
TXN1179,Jennifer Grimes,54,Male,3895.07,Taylor-Chavez,Travel,Pune,2025-07-23 00:19:16,1,0,1,1
TXN1180,Kathleen Petty,27,Female,2474.97,Kelley-Young,Electronics,Pune,2025-06-12 02:47:16,1,0,5,1
TXN1181,Alice Davis,30,Male,562.05,Martinez and Sons,Entertainment,Chennai,2025-09-21 15:17:16,0,0,3,0
TXN1182,Lisa Thomas,32,Female,3988.5,Cook-Carey,Fashion,Bangalore,2025-08-19 13:37:16,1,0,3,1
TXN1183,Mr. Nathan Smith,62,Female,3602.98,Wright PLC,Online Shopping,Gurgaon,2026-02-01 08:50:16,1,1,3,1
TXN1184,Melissa Hart,53,Male,3583.73,Anderson-Terry,Electronics,Mumbai,2025-07-28 23:21:16,1,0,2,1
TXN1185,Terry Clark,27,Male,1719.2,Hartman-Trujillo,Entertainment,Delhi,2025-12-24 20:18:16,0,1,1,0
TXN1186,Jacqueline Jones,63,Male,3078.6,"Lang, Tanner and Ford",Fashion,Delhi,2025-10-01 15:01:16,0,1,5,1
TXN1187,Glenn Foster,35,Male,3061.16,Smith-Brown,Fashion,Bangalore,2026-01-16 19:41:16,1,1,2,1
TXN1188,Troy Smith,29,Male,520.04,Nelson-Stewart,Food,Pune,2025-06-17 22:45:16,1,0,4,1
TXN1189,Ronald Cohen Jr.,25,Male,3260.32,Rose and Sons,Travel,Delhi,2026-02-04 18:47:16,1,0,2,1
TXN1190,Daniel Carpenter,46,Female,530.19,"Davis, Jones and Velazquez",Travel,Mumbai,2025-07-14 06:30:16,1,1,0,0
TXN1191,Javier Williams,63,Female,1187.17,Potter Group,Fashion,Chennai,2025-05-26 14:05:16,0,1,5,1
TXN1192,John Swanson,40,Female,4605.0,Mcpherson and Sons,Online Shopping,Mumbai,2025-06-22 05:46:16,0,1,2,1
TXN1193,David Flowers,57,Female,3043.39,Huber PLC,Fashion,Chennai,2025-07-02 19:31:16,1,1,3,1
TXN1194,Barbara Garrett,43,Female,1674.16,"Miller, Hernandez and Rodriguez",Fashion,Mumbai,2026-03-05 08:16:16,1,1,1,0
TXN1195,Hannah Rodriguez,28,Male,4615.57,Green Ltd,Food,Gurgaon,2025-10-10 02:14:16,1,1,0,1
TXN1196,Jeffrey Ortiz,60,Female,173.9,Dickerson-Vincent,Grocery,Chennai,2025-08-29 08:47:16,1,1,0,0
TXN1197,Julie Mendez,24,Male,835.91,Pierce Ltd,Grocery,Pune,2025-05-29 02:52:16,1,1,4,1
TXN1198,Mary Dominguez,60,Male,3165.0,Jackson-Carter,Healthcare,Mumbai,2025-12-02 10:20:16,0,1,0,0
TXN1199,Edward Mercer,24,Male,4877.95,Shields-Ortiz,Electronics,Chennai,2025-05-11 11:21:16,0,1,5,1
TXN1200,Rodney Dunn,39,Female,435.89,Roberts Ltd,Grocery,Pune,2025-10-30 19:52:16,1,0,0,0
TXN1201,Rachel Dorsey,49,Male,344.71,"Stewart, Hanson and Leach",Fashion,Bangalore,2025-10-04 08:42:16,1,0,2,0
TXN1202,Amy Peterson,49,Male,2346.48,Norton-Harris,Travel,Pune,2025-07-06 15:12:16,1,1,5,1
TXN1203,Jordan Cunningham,33,Male,2828.56,Castro-Francis,Fashion,Gurgaon,2026-04-20 03:27:16,1,1,2,0
TXN1204,William Lindsey,64,Male,2642.96,Moyer Group,Fuel,Delhi,2026-01-14 10:11:16,0,0,5,1
TXN1205,Robert Gardner,68,Female,784.65,Sanders Inc,Online Shopping,Bangalore,2025-08-16 05:02:16,0,1,2,0
TXN1206,Dr. Virginia Thomas,49,Male,1368.79,Reed Ltd,Fashion,Pune,2025-11-27 03:18:16,0,1,3,0
TXN1207,Kristina Smith,49,Female,3582.7,Ford-Franklin,Fashion,Pune,2025-05-23 20:40:16,1,1,0,1
